0,1,2,3,4
0.30917025,0.1630086,0.15275435,0.17675275,0.19831403
0.28105676,0.17789823,0.16956544,0.17584881,0.19563079
0.27936462,0.18929312,0.16541456,0.17194849,0.19397916
0.27814314,0.18659352,0.16868883,0.17873082,0.1878437
0.26821622,0.19319257,0.17983331,0.17989677,0.17886113
0.28513354,0.21970652,0.20117326,0.19736803,0.09661866
0.28366366,0.21866691,0.19619897,0.095506184,0.20596428
0.26473057,0.21871008,0.108432196,0.22970116,0.17842597
0.23119973,0.100485824,0.21565315,0.18672411,0.26593724
0.07003242,0.19429734,0.18788408,0.2431185,0.30466768
0.104294345,0.15267496,0.2319837,0.31353408,0.19751295
0.09313812,0.20547381,0.28461802,0.19876987,0.2180002
0.13287012,0.25228631,0.19109811,0.20629357,0.21745184
0.26365727,0.18209684,0.1883465,0.19514799,0.17075138
0.21469775,0.22113454,0.23264894,0.2075531,0.12396565
0.2746328,0.28220716,0.25795257,0.13457477,0.050632726
